#InfiniteKusama,Tweet Text,URL
Kusama,RT @joshledermanAP: Saturday at the Hirshhorn   #InfiniteKusama https://t.co/hMRyFiIc6R,
Kusama,Filming #infinitekusama @hirshhorn in DC today. #mirrors #smithsonian #dc #sj7photography… https://t.co/YM5G0eSBJ6,https://www.instagram.com/p/BSY_0j5Ftmn/
Kusama,"RT @OhMyGOFF: Infinity Mirrors: A 6-year-old Reflects After Visiting the @hirshhorn
 https://t.co/rZIXdU3LVi #kusama #infinitekusama #art h…",http://www.angiegoff.com/single-post/2017/03/28/Infinity-Mirrors-A-6yearold-Reflects
Kusama,"RT @hirshhorn: Experience Yayoi Kusama's limitless ""Infinity Mirrors"" exhibit via @CBSThisMorning https://t.co/PKvqmfQ1sG #InfiniteKusama",http://www.cbsnews.com/videos/experience-yayoi-kusamas-limitless-infinity-mirrors-exhibit
Kusama,Gazing into the infinity room 🎨#InfiniteKusama #WashingtonDC @ Hirshhorn Museum and Sculpture… https://t.co/E4JNd9JGSX,https://www.instagram.com/p/BSY4rMYA8wh/
Kusama,RT @franklin19788: Finally at @hirshhorn to see Yayoi Kusama's exhibition. It's enthralling! A feast for the senses. #infinitekusama https:…,
Kusama,RT @franklin19788: Finally at @hirshhorn to see Yayoi Kusama's exhibition. It's enthralling! A feast for the senses. #infinitekusama https:…,
Kusama,"Having a great time visiting our daughter Anastasia in DC.  Went to the awesome 
#infinitekusama exhibit at... https://t.co/9wkIbenkyi",http://fb.me/44ZHqjDWY
Kusama,"RT @OhMyGOFF: Infinity Mirrors: A 6-year-old Reflects After Visiting the @hirshhorn
 https://t.co/rZIXdU3LVi #kusama #infinitekusama #art h…",http://www.angiegoff.com/single-post/2017/03/28/Infinity-Mirrors-A-6yearold-Reflects
Kusama,"RT @OhMyGOFF: Infinity Mirrors: A 6-year-old Reflects After Visiting the @hirshhorn
 https://t.co/rZIXdU3LVi #kusama #infinitekusama #art h…",http://www.angiegoff.com/single-post/2017/03/28/Infinity-Mirrors-A-6yearold-Reflects
Kusama,"Infinity Mirrors: A 6-year-old Reflects After Visiting the @hirshhorn
 https://t.co/rZIXdU3LVi #kusama… https://t.co/YpkY7HUhie",http://www.angiegoff.com/single-post/2017/03/28/Infinity-Mirrors-A-6yearold-Reflects
Kusama,Finally got tickets to #infinitekusama after weeks of trying. So worth the wait! @hirshhorn #infinitymirrors… https://t.co/Zbv2D6njJL,https://twitter.com/i/web/status/848542141211127808
Kusama,Envidio a los que pueden ver #infiniteKusama,
Kusama,RT @jigolden: #InfiniteKusama ended with a bang! Nice work @hirshhorn #DC. https://t.co/MnuthDwL63,
Kusama,RT @franklin19788: Finally at @hirshhorn to see Yayoi Kusama's exhibition. It's enthralling! A feast for the senses. #infinitekusama https:…,
Kusama,RT @franklin19788: Finally at @hirshhorn to see Yayoi Kusama's exhibition. It's enthralling! A feast for the senses. #infinitekusama https:…,
Kusama,RT @jigolden: #InfiniteKusama ended with a bang! Nice work @hirshhorn #DC. https://t.co/MnuthDwL63,
Kusama,RT @franklin19788: Finally at @hirshhorn to see Yayoi Kusama's exhibition. It's enthralling! A feast for the senses. #infinitekusama https:…,
Kusama,RT @jigolden: #InfiniteKusama ended with a bang! Nice work @hirshhorn #DC. https://t.co/MnuthDwL63,
